text,item
I'll talk to friends about it,2
I sit in a simulator to assess the situation,2
I don't take the job,2
I'd try to explain the situation and sort it out by phone.,2
I try to get out of my comfort zone and prepare for it with support.,2
I'm trying to get acquainted with the situation in a simulator.,2
I'm trying to overcome my problems with anxiety therapy.,2
"Search for alternatives (bus, train, ship)",2
Flying there with a familiar person,2
Buy Calming Tablets,2
drunk before,2
Finding out positive information/advantages about companies,2
Talking to someone about the fear of flying,2
Reject contract,2
Don't fly there,2
Ask for a Skype Talk,2
Overcoming Me and Thinking of the Chances,2
Smoking before a joint,2
I'm going to see a therapist,2
I'm looking for alternative transportation options until fear of flight is defeated,2
I'm asking friends for support,2
I'm doing a therapy against fear of flying,2
I ask a friend if he/she's coming with me,2
I'll see if there's any other way to get there.,2
I'm taking pills for fear,2
I buy myself a book against fear of flying,2
I'm looking at statistics that show that flying is safe,2
I set myself the goal of overcoming this fear,2
I'm thinking if it's worth the trip,2
I conduct fear-reducing practices (autogenic training e.g.),2
I ask myself about other means of transport,2
I wonder how bad the few hours in fear are in relation to the following advantages of the job,2
I am looking for help/talk with others about it (Friends/Therapeut),2
I research d. actual probability d. d. plane crashes (not i.e. I die then),2
I'm asking a person close to me to fly with me.,2
I'll weigh up what's more important to me.,2
I'm looking for ways to deal with fear of flying.,2
I'm trying to share my concern with people close to me.,2
I'm not flying.,2
I keep in mind the advantages to cope with my fear of flying,2
I'm starting a psychotherapy to fight flight anxiety,2
I am looking for possible train & bus connections,2
"I haven't been flying for a long time (because of CO2), so via train travel!",2
I listen to different podcasts about flying.,2
I buy myself a strong sleeping medication and accept a contract,2
"I call a friend of mine, who is a pilot, and let him trick me (about safety, etc.)",2
I look at the statistics (on the topic,2
Change apartment and unique car/ship,2
Ignore fear of flight and work under stress/anxiety,2
Do not accept contract,2
Consoling me with something great waiting for me,2
Talk to friends/family,2
Get information about the safety of flying,2
"Find something to distract during the flight (good music, for example)",2
Finding statistics on aircraft accidents and understanding fear as unfounded,2
Weighing fear against possible contract and choosing what is more important to me,2
Get pills for fear of flying,2
Friend/family persuade to fly with,2
Convince yourself that nothing can happen,2
Cancel Job Offer,2
Consider taking another means of travel,2
"Courage up to the flight & ""simply get on""",2
Teaching Stress Management Methods,2
Referring to the facts (flying is very safe),2
Driving by train/car,2
Talk to friends/families about fear,2
Finding a flight attendant,2
2 days before flight do not sleep to sleep during the flight,2
Doing therapy against fear of flight,2
Search other way to travel there,2
Reject offer,2
Search for new offer,2
Try to control my emotions,2
Take sedatives before flying,2
a friend to calm down,2
Trying to deal with fear of flight,2
"alternatively, if possible, by train",2
Partners/best friends ask to come with us,2
Take sedative tablet,2
I go to therapy to overcome my fear,2
I'll take sedatives before the flight,2
I reject the contract,2
I meditate and try to keep calm,2
I'm trying to displace the thoughts,2
I'm tormenting myself no matter if I'm hyperventilating,2
I'm still flying,2
"I'll talk to my boss and take a bus, train, ship, etc.",2
I don't want the contract.,2
I get drunk at the airport and sleep during the flight,2
I'm doing a therapy for fear of flying.,2
I'll get medication to dampen the fear of flying.,2
I refuse the job.,2
I get drunk before every flight.,2
I'm moving to the place permanently.,2
I'm looking for alternative means of transport.,2
"Home office, Skype?",2
Trying to fly small distance,2
Ask your friend for help to fly along,2
"move, move near companies",2
Flight fear training,2
if any other means of transport,2
search alternative company,2
Still flying to make it better,2
Reject contract if you don't want to face fear,2
Reject the order,2
Talk to friends about it,2
Get tips,2
Make yourself clear that fear is unfounded,2
Convince Yourself to Courage,2
Exercise Relaxation Exercises,2
distracting during the flight,2
Look for other means of transport,2
"Courage ""Drinking """,2
I'm talking to a psychologist,2
I'm learning relaxation techniques,2
I think of situations where I was brave,2
I'll talk to a friend about it,2
I discuss the situation with my superior,2
I'm looking for alternative ways to get to a place,2
I'm taking drugs for fear,2
I reject the order,2
I listen to mi relaxation music,2
I ask if a person can accompany me,2
I'm trying to accept the contract and go to therapy for the fear of flying.,2
I'm looking for other means of transport.,2
I explain to the company my fear and ask for alternative ways to become part of the lower.,2
I'm trying to distract myself during the flight and tell flight crew about my situation.,2
I'm flying with a friend.,2
I reject the offer.,2
I plan more time and find alternatives to flying.,2
"I try to ease my fear (e.g., look for statistics on aircraft security).",2
"I ask a person close to me to come along, because the fear is less.",2
I'm trying to distract myself until the flight.,2
I'll get some medication.,2
I'm going to therapy.,2
I'm questioning why I'm afraid.,2
I refuse.,2
I'm looking for other transport options.,2
I'm distracting myself.,2
Meditating/relaxing,2
I'll talk to friends about it,2
Talk to family about it,2
read on the Internet for help,2
I ask if there are alternatives to the flight,2
I'm gonna go get some tranquilizers.,2
I go through all mgl flight scenarios mentally,2
I ask Frunde/family for tips gg fear,2
I train calming techniques,2
I'm briefing myself on statistics on air accidents,2
I try to learn relaxation techniques before,2
I'm taking medicine for fear of flying,2
I reject the contract (weakness),2
I check alternative arrival procedures,2
I just fly and bear the suffering,2
"I try to find a train connection, also better for climate knowledge :)",2
I realize that nothing can happen,2
I try to relax with relaxation exercises,2
I'm taking tranquilizers,2
I'm trying to contact a therapist,2
I'm getting sedatives,2
I ask known/family for techniques for calming down,2
I explain my dilemma to the company's managing director,2
search for another way to get there (if possible),2
"a confidant (my friend, sister) ask me to accompany",2
Search for relaxation exercises during the flight,2
"In case of extreme fear of flying, have tablets prescribed by a doctor",2
Films/series watching during the flight,2
I turn to close friends and family to discuss the problem and get advice,2
I try to get in touch with a company's trusted business partner and clarify it.,2
I'm trying to calm down,2
"I say to myself, if the company does not take a step towards me in this emergency, then they have no real interest in me",2
Try to overcome my fear of flying by talking to friends,2
Convince me that nothing will happen,2
How many people fly every day think of that.,2
Don't give up the offer.,2
Think of the many advantages of the Treaty.,2
Write down benefits and make me aware,2
Accident statistics See aviation accidents (very unlikely),2
Talk to friends/colleagues about it,2
Convince me that everything is going well (e.g. in front of a mirror),2
become aware of what I miss when I don't fly,2
Therapy against fear of flight,2
instead like Greta sailing,2
quit the job or don't accept it.,2
Talk to the boss about whether there are other points of view.,2
face fear & fly,2
Take & Fly Soothing Tablets,2
Meditate (on/before flying),2
Progressive muscle relaxation,2
Get Psychologists to Help,2
Make positive thoughts yourself,2
Listing advantages and disadvantages,2
Remind how great job is,2
Superior distracting things for flight,2
talk about it with friends etc and get opinions,2
Practice/suggest relaxation techniques,2
Take your lucky charm with you,2
Friend/family members ask if he/she will come with wprde,2
I talk to friends & family about it to get safe thoughts.,2
I'm asking my friend to come with me.,2
"I try to deal with the pos. things of a flight. (Outlook, the destination)",2
I'll make a short-haul flight first to get used to it.,2
I'm planning the trip carefully and I'm packing a drop of calm.,2
"""Breaking through""",2
Listening to music,2
Read the newspapers,2
view all the technology at the airport and at the airplanes,2
drunk (if no meeting on the same day),2
I'm looking for a therapist,2
I try to prepare for the flight through relaxation exercises,2
I don't accept the contract,2
I ask the company for other options (work from home),2
I'm trying to suppress my fear,2
I'm getting sedatives from a doctor,2
I'm with them and I'll help them as best I can.,3
I'm doing sports.,3
I'll talk to a friend about it.,3
I'll ask other relatives how they're doing.,3
I'm eating chocolate.,3
I'm repressing the situation.,3
I'll call them and ask them about the condition.,3
I'm just driving around in the car.,3
Visit relatives in the hospital,3
Discuss grief with friends/family and seek comfort,3
Ignoring grief and not wasting any more thoughts on the sick relative,3
Exercising sorrow alone,3
go after his hobbies to distract himself,3
partying go,3
Talk to my friends about it,3
Visit,3
Write a diary,3
Listening to a Hopeful Song,3
Weeping in a pillow,3
Create beautiful memories m. d. Person(s),3
Write a Gratitude List,3
Sporting,3
Cuddle to bed,3
Family & Friends,3
Go to the hospital,3
Talk to friends/family about it,3
Distraction,3
Take a deep breath and move,3
Walking,3
Do not avoid/repeat crying,3
Seeing/calling together friends,3
These relatives go to visit,3
1x sleep over,3
Focus on here & now and not in d,3
"often visits, not always alone",3
"with people talking about it, even with those affected",3
Calling,3
Pray,3
dancing with a friend,3
Sporting,3
hot chocolate drink/eating,3
Watch a beautiful/joyful movie,3
Listening to music,3
crying,3
I'm going to visit her.,3
I'll talk to my family about it.,3
I'm distracting myself.,3
"I inform myself about the illness, I can possibly help her or make her suffering better.",3
I'm trying to make the time there as pleasant as possible.,3
I'll call her.,3
I'll send her my best face for recovery.,3
Visit relatives in the KH,3
Talk to your partner or friends,3
Own health value-added,3
cuddle with pet,3
Walking,3
Listening to music,3
Distract with work,3
Walking,3
Bake,3
I talk to others about my feelings,3
I visit you and support you where I can,3
I take time for myself to grieve/to be/to calm down,3
I'll call her.,3
I'll bring food by.,3
I'm doing a loss management therapy,3
I'm launching an aid initiative for people with this disease,3
I'm talking to doctors,3
I'm getting information about the disease,3
I'm taking my time off,3
I'll go to the hospital immediately if possible,3
I'll call my mother and ask her for advice on how to handle it.,3
I pray for her.,3
I'm crying out so I can think more clearly.,3
"I breathe deeply and don't start from the worst, stay positive!",3
"If I find out from third, I'll call you to talk again.",3
I'm talking to friends to process it,3
I go to them & spend precious time with them,3
I try to be strong for them because they're probably depressed anyway by themselves,3
I inform myself about the disease & therapies,3
I'm not trying too much to get emotionally absorbed in order to protect Staerke,3
I'm planning a surprise for her to cheer her up,3
Drive to be there for the person,3
Talk to friends about it,3
Distracting,3
Lowering to Work,3
Call the person and talk about it,3
I'm visiting them,3
I make phone calls with them,3
I'm looking for treatment options,3
"I eat chocolate, like",3
I distance myself from my grief,3
I am pleased with my own health,3
"I ask if I can do something, try to get active",3
"I'm distracting, sports, etc.",3
I accept the grief,3
Accept it as it is,3
focus on the beautiful times/remembrances with them,3
To be thankful for everything you have experienced with them,3
Make more frequent visits,3
Courage to speak (to them and to themselves),3
"Knowledge that there is still a chance of ""becoming better""",3
I spend time with friends to distract me,3
I allow the feeling v. sadness to be completely closed and cry until I feel better,3
I realize that death is not the end,3
I say goodbye to the relative,3
I take a break and spend time alone in nature,3
I'm looking for a therapist,3
I'm going to see the relative.,3
I'm crying until I feel better.,3
I'll talk to other relatives.,3
I turn to alcohol and drugs.,3
enquire about me in the hospital,3
Call & enquire about my parents,3
Visiting the relatives,3
crying,3
Talk to someone about it,3
distracting me,3
I'll call my mother and talk to her about it.,3
I mourn,3
I meet with friends and ask for their support,3
I don't accept the circumstance and get angry,3
I try to assist him/her best in this difficult time,3
I make a trip to Ibiza and forget the circumstances,3
go to the person,3
distracting,3
Tell someone the troubles,3
Just make jokes about everything,3
Praying to God,3
"Have faith in death, and that dying is not bad",3
Calling with the person,3
Talk to a doctor about it,3
get upset until you're emotionally calm,3
Accept the situation and work on solutions.,3
Find out about the illness and the life style of the relatives.,3
"I join with other relatives and spend my time with them, In doing so we advise ourselves how to eliminate the disease a) b) can make as bearable as possible for the relatives",3
I visit the relatives in the KH,3
I'll call her.,3
I'm looking for help with a familiar person,3
I don't think about it,3
I'm trying to help other relatives,3
Sharing Grief,3
Play/hear music,3
Visit the relatives regularly to make use of the time,3
Talk to friends/family,3
if necessary take a vacation from the job in order to catch,3
deal with the possible loss (reflect),3
Thinking of the Good Time with Persons,3
crying,3
I'm going to see my relatives,3
I'm getting information about treatment options,3
I'll talk to my friends about it.,3
I'll take care of my relatives as well as possible,3
I live my life normally,3
I ask my relatives what their plan looks like,3
I'm going to a therapist to talk about everything,3
I reflect on the life of my relatives,3
I'm trying to distract myself,3
Visits/departures,3
Writing letters,3
Use Memories,3
Doing something with friends,3
Sporting,3
crying,3
Doing something good to relatives,3
Call relatives,3
Talking to relatives/friends,3
Distract,3
Sports,3
Drinking alcohol,3
Thinking about what can be done acutely,3
Go over there.,3
Helping Other Relatives Deal With It,3
Thinking about what needs to be done,3
Find Support,3
Worrying accompaniment,3
I'm crying out,3
Learning,3
Try to contact the relative(s) (e.g. by phone),3
Visit the relatives in the hospital,3
Talk to someone about it,3
Ask for details + inform about illness,3
distract yourself with reading/films/series,3
travel to your home / book a train / flight ticket > visit + closeness to other relatives,3
Call other relatives,3
Looking for a conversation with friends,3
I leave room for my feelings,3
I'm talking to my family about it,3
I'll get more information from the treating physician,3
I'm going to the hospital to help my relatives,3
I visit the relatives as often as possible,3
I make him small gifts - they should rejoice in this difficult time,3
I talk to those who are close to me about my grief,3
I take care of the seriously ill by talking to them a lot,3
I talk to doctors that I have certainty about the situation,3
"I read advice on Internet/books, how to deal with such things",3
Visit relatives,3
Distracting,3
Learn more about the state of the person,3
talk to friends about it,3
Spending time with the person,3
I wonder why I'm sad,3
I write in my diary & try to process the feelings,3
I'm going to visit the relatives,3
I'm writing a card,3
I'm talking to other family members and I'm looking for/giving support,3
I tell myself that such situations are normal in life & I have to learn how to deal with them,3
I inform myself about the chances of the disease,3
Make a visit immediately & spend time with the person,3
inform about the disease,3
Talk to other relatives about it,3
crying,3
Visit daily,3
"bring small gifts to the relative (flowers, chocolate)",3
Play with relatives games,3
often call & ask how he is,3
ask what exactly happened,3
they go to visit,3
call upon them if possible.,3
Stay in touch via SMS & ask for updates,3
Remind of common moments,3
Convince yourself that everything will be all right,3
distracting yourself to not think too much about it,3
Visit relatives (often),3
Talk to the rest of the family about it,3
Seek Distraction,3
Find out how to help relatives,3
"to help relatives with household, tasks incurred,...",3
Eat a lot out of frustration,3
Falling into work,3
Carry memorabilia of relatives,3
I'm asking more about the state of health,3
I'll go there right away to visit her.,3
I ask if there is anything I can do/help,3
I talk to friends/relatives and tell them what concerns me.,3
I'm writing a postcard,3
Want to know what disease it is,3
Getting information about illness,3
Finding Experts,3
Provide assistance to the sick,3
take on as many duties as possible,3
Spreading the message in the family,3
Find out more about the hospital,3
Visit,3
Meditate,3
Conversation with friends/family/foreigners,3
"Distraction (sports, university, etc.)",3
Weighing the energy input according to the means of assistance,3
I'm going to visit him,3
"I cook him a soup to make him feel better soon, then I feel better too",3
I'm crying,3
I'll talk to my relatives about what we can do,3
"I'm watching a movie, he's cheering me up",3
I'm going to see her.,3
I calm down and trust the doctors in the KH.,3
I'll let my grief run free.,3
I'm distracting myself with beautiful music.,3
I do things that make me happy.,3
I visit him/her,3
I'm as good as I can for him/her and try to make the best of it and enjoy the time with him.,3
I see it as an experience through which one must and from which one can learn,3
I can see that it could have been worse,3
I get distracted & cover myself with work,3
I'll talk to friends about it,3
You visit and talk,3
Getting a gift for them,3
Take a deep breath,3
Allow feelings to cry,3
Talking to Family,3
Calls at the hospital,3
Listening to music,3
Inform about disease/treatment methods,3
Take Time,3
Walking with family/everyone,3
Thinking about shared experiences,3
Watch the movie about similar fate,3
Friend hugging,3
Go & be there immediately,3
Ignore & Continue,3
crying,3
Write a song,3
Talk to girlfriends,3
Walk in nature,3
Thinking about the people and wanting them to be healthy,3
Go to the hospital,3
Find out exactly what happened,3
Talk to the doctors in the hospital,3
distracting,3
Meet with other relatives and exchange experiences,3
Seeing Psychologists,3
Find out if you can help your close relatives,3
I'm crying.,3
I'll call a close friend.,3
I'm going to see my family.,3
I'm going to church.,3
I'm going to see the person in the hospital.,3
I'm on vacation.,3
I'm listening to music.,3
I'm writing a short story/impression.,3
I eat ice cream & drink wine.,3
I'll find out about the disease.,3
I remember memories together.,3
I'm thinking about how to support my relatives,3
I'm crawling over to my girlfriend's house and I'm gonna get comforted.,3
I'm getting distracted by my boyfriend with sex,3
I go to the hospital and visit my relatives,3
I'm talking to the doctors not to lose my imagination,3
I ask my relatives what happened,3
I'm going to the hospital,3
I'll call my relative at the hospital,3
I'm crying,3
"I'm sad, but I'm just waiting",3
I'll call the hospital.,3
I'll call friends to deliver the message to them.,3
I'm telling myself it won't be that bad,3
Talk to other relatives about it,3
Go to the hospital,3
Talk to friends about it,3
distracting me,3
I visit my relative in the hospital,3
I invite friends to distract me,3
I'm watching a movie,3
I'm going on a trip to a place where I've always wanted to go,3
I spend a lot of time with my relatives,3
I pursue my own goals,3
I go - if possible - to visit my relative,3
I'm going out and I'm moving,3
I'm talking to my friends about the situation,3
I hear music that suits my mood.,3
I'll ask exactly what's going on and ask if he/she might want a visit:,3
"when ""yes"" is to be answered I go and talk and try to comfort myself - it will be again",3
"when lying in bed with ""no - yes - sad until better",3
go to the hospital and discuss the situation with the doctor,3
Get information about illness,3
Visit friends/members,3
"Talk to family or friends, talk to relatives",3
"visit the relatives, spend time with her",3
Listening to music,3
try to hide it,3
Allow grief and cry,3
Helping the relatives as much as possible,3
Visit a person in the hospital.,3
Try to be there for other relatives.,3
Distract me to stop being sad.,3
Ask me about illness and treatment methods.,3
Go Through What They Had for a Life,3
Talk to friends about it,3
To be alone and just cry,3
Distract and don't think about it,3
Visit the person,3
Thinking about beautiful moments with the relative,3
I'm going to see her at the hospital,3
I'm talking to them on the phone,3
I speak to the close relatives,3
I'm talking to my family,3
Visit relatives to the hospital,3
Communicate with other relatives,3
Sitting with family,3
Talking to Related Persons,3
Keep calm,3
Grief,3
"Asking about the condition of the relative, in hospital",3
Still as often as you can see sick relatives,3
Visit relatives,3
Talking to Family,3
inform me about illness,3
going out/doing something cheerful,3
Deepen into work,3
I'm going to the hospital right away to visit her.,3
I try to calm down (inhale and exhale deeply),3
I'm trying to get completely distracted from the situation,3
I'm trying to imagine that everything will be all right,3
I research the disease/injury on the Internet,3
I'm trying to talk about it with someone from my family,3
I turn to my friends,3
Doing something for those affected (personal gift and visit),3
Dealing with the backgrounds/facts of the disease,3
search and focus small beauties in your own everyday life,3
"Alleviation by distraction (sports, entertainment)",3
Getting comfort (friends),3
"Dealing with ""Memento Mori""",3
I'm going to visit her.,3
I'll call her.,3
I'm talking to friends & relatives about the thing,3
I accept the situation and visit it,3
I withdraw and think about my sadness,3
I'm going to the hospital as soon as possible.,3
I go to the family (if KH is too far away),3
I'll see if I can help/do something myself.,3
I follow the course of the illness exactly,3
I inform myself about the illness (if it's not a car accident or something),3
I'm trying to stay optimistic.,3
I'm visiting the relatives,3
I talk to friends/relatives about the situation,3
I inform myself about the disease and the therapy possibilities,3
I ask doctors how/if I can help somehow,3
I visit the person immediately,3
I wonder why the person was seriously ill (psychic cause),3
I bring the sick person flowers & chocolate,3
I'm taking off to take care of my own problems,3
I talk to the person and try to motivate them to recover as soon as possible,3
I regret the time not spent together with the person,3
I blame myself for not taking care of the person,3
Researched disease,3
Go to the hospital,3
Help where I can,3
crying,3
Talk to the Confident,3
try to think positively,3
Spending time with relatives,3
put me together with situation,3
Distract,3
Focus on work,3
Comfort other person,3
Visit the person.,3
Call other relatives and ask for details.,3
Meet with friends and distract.,3
Meet with family and talk about it.,3
Pray for the person.,3
Find out about the disease.,3
Try to be grateful for the time they had in common.,3
Give in to grief and try to process it.,3
Try to be there for the others who hit the vll more.,3
Go to the hospital,3
Talk to family/friends about it,3
Let the tears run free,3
Talking to the Dr.,3
inform me about the disease,3
distracting,3
Visit relatives in the KH,3
Support relatives with tasks such as taking care of their child,3
Talking to Other Relatives,3
Displacing the message and pretending there's nothing,3
Talking and distracting with friends,3
Talk to doctors about treatment alternatives,3
Planning a visit,3
Take a day off,3
Starting from the best,3
preserve the nerves with chocolate,3
call a relative to share the grief,3
Call the hospital and ask for visiting hours and condition,3
Go to the hospital,3
Call a friend,3
Watch a distracting movie,3
Call a friend,3
Watch funny movies for distraction,3
Visit the relatives if possible,3
what sweet food,3
Doing work instead of thinking about it,3
singing because it makes me happy,3
Visiting the Relative,3
Talking to Friends About Grief,3
Tell the relative what he/she means to you,3
Go to the Psychotherapist,3
Search the Internet for treatment options for the relative,3
Pray,3
Irritate you with great things,3
Talk in detail to people (friend) in my near surroundings.,3
phone with my family to make sure how serious it is & to share emotions,3
"depends on the degree of severity, maybe I'll go straight to",3
I let my feelings run wild,3
I'm talking to close persons about the event,3
I visit my relatives in the hospital,3
I spend a lot of time with my family to support each other.,3
I deal with the disease and its chances of healing,3
I talk to doctors to better understand the condition of my relatives,3
I speak to friends who have experienced similar things.,3
I'll write it all down.,3
Trying to be positive & optimistic,3
Visit to be there for f. s.,3
Buy and drink a bottle of grain,3
"lock me up at home, chocolate+television, try to distract",3
Search Success story (survival etc.) of humans with the same disease,3
"Deal intensely with it, try to deal with it",3
spend a lot of time in the hospital,3
Talk to friends,3
Spend a lot of time with my friends,3
Get me drunk,3
talk a lot to the family,3
pull me back,3
crying,3
ignore the fact,3
seek professional help,3
grab medications,3
make me a nice day,3
search for treatment options,3
Visit and spend time with relatives in the hospital,3
Talk to other relatives about it,3
Remembrance of these relatives,3
Personal gift/photos/letters for relatives,3
Use for the disease research in question,3
Talk to friends with similar experience,3
Treatment,3
Distraction,3
I'm going to the funeral counseling.,3
I'm visiting my family,3
I cry and let everything out to feel better afterwards,3
I'm distracting myself with sports,3
I'm trying to visit the person as soon as possible.,3
I'll call the person right away.,3
I try to revive the beautiful stories together (photos).,3
I'm trying to have some nice moments with this person.,3
Call relatives and talk about it,3
Ask the hospital for more information,3
Learn more about relatives,3
Visit to the hospital,3
researching the disease (positive),3
Distracting with friends,3
Thinking about the good time with the relative,3
Compilation of a Gift for the Sick,3
Related For Distraction Meet,3
Walking,3
Going to Celebrate,3
Ignore situation and pretend to be nothing,3
I'm going to the KH,3
I call relatives to ask for reasons & condition,3
I'm taking my time off,3
I'll call the KH to find out about her condition.,3
I'll talk to friends about it,3
I realize that it's a part of life.,3
I'll let my grief go,3
I'm not trying to get out of the worst & keep quiet,3
I try to distract myself without ignoring the problem,3
I'll talk to friends/family about it,3
I ask myself about the actual state of health,3
I call relatives/visit him,3
I'm distracting myself as long as I can't help,3
I calm myself down and deal appropriately with my grief,3
I visit the relative in the hospital,3
I'm meeting friends.,3
I'm trying to distract myself with activities.,3
I support other family members (who are not doing well because of the situation),3
I try to allow sadness too,3
I try not to suppress my feelings,3
I'm going to the hospital right away,3
I call on my other relatives and seek refuge with them,3
I go inside and let the feelings & fear of loss to (= completely normal feeling),3
I deal with the illness and get the best information,3
I try to feel my body through yoga & meditation,3
I comfort myself with my favorite food,3
Talk to Family,3
Drive to the hospital and spend time with the people,3
I distract myself > other thoughts,3
I spend time with my relatives (society),3
Planning a visit to the hospital,3
"Listen to music at home alone, cry if necessary",3
"Tell friends about it, seek comfort with them",3
Ask me regularly about their condition,3
"Short-term: distance from everything, cry out",3
Visit the hospital,3
Call Person,3
Call & talk about other relatives,3
Visit the sick person in the hospital,3
Cry,3
Researching Healing Opportunities,3
Hope that everything will be good,3
Distraction from other activities,3
Don't try to think about it,3
Dealing With the Soon Death of the Person,3
Visit the relative to spend as much time with him/family as possible,3
"to deepen into the work, to distract",3
Talk to friends/family about it,3
Make a holiday,3
Remind of the good/bad times (with the relative),3
Alcohol/Drogenexzess,3
Talk to other affected relatives about it,3
Traveling to the hospital on a visit,3
Inform about the disease,3
Seeking comfort with friends,3
Spending time with the rest of the family,3
Thinking about the good times with them,3
Listening to music,3
Cry,3
Regular visits to relatives,3
Stay in constant contact,3
Realistic Thinking & Don't Make False Hopes,3
Coping With the Situation,3
Concerning the Disease,3
I'll go to him and join him.,3
I just hope he survives,3
I find peace with the thought of death (that it is natural),3
I do everything I can to support the doctors,3
I'm going to the therapist to process it,3
I'm talking to friends about my grief,3
I'm going to visit her,3
I call them & ask if they need anything else,3
I accept that you can't do anything and enjoy the remaining time,3
"I inform myself about the disease and look for treatment options, specialists, etc.",3
I'll go and see her right away.,3
I'll call my best friend right away.,3
I'll call family members.,3
I'm distracting myself with an interesting activity.,3
I'm starting to cry.,3
Get in touch,3
Talk to other relatives (e.g. parents),3
Have a drink with friends (distract) [> short notice],3
to the hospital drive to relatives,3
Letting grief out,3
"Distracting, thinking about other things",3
Talking to a Related Person,3
Go to the hospital to say goodbye,3
"Ignore grief, pretend to be nothing",3
"crying, lying in bed until you can't cry",3
Convert grief into anger/energy,3
Achieve sports,3
Visit the person,3
Talk to friends about it,3
Inform yourself about the disease,3
Spend nice time with the person,3
distracting,3
Finding Proffesional Help,3
Talking to the sick staff as the prognosis is,3
Support the sick person as far as it goes,3
Write down fears & fears,3
I'm going to visit the person,3
I bring a gift to the person,3
I'm talking to the person about the disease,3
I am looking for rust at family/friends,3
I'm doing something with friends for distraction,3
I read books about coping strategies,3
I let my feelings run wild and cry out,3
I seek psychological help,3
I'm going on a journey to get to other thoughts,3
I eat chocolate,3
I'm going to visit the relatives.,3
I'm talking to friends and family about my grief.,3
I'm asking about the type of disease and the chances of healing.,3
"I distract myself with leisure activities (e.g. watching shows, reading)",3
I do more exercise to counteract the grief caused by elevated endorphin levels.,3
I'm organizing a nice surprise with other relatives.,3
I'm going to see the relatives at the hospital to help you.,3
"In my circle of acquaintances, I ask for doctors who are familiar with the disease and could help.",3
I'm thinking they'll get good help at the hospital.,3
Calls,3
Visits,3
Take care of her,3
Family talk about it,3
Distract (listen to music),3
Ask your friend for advice,3
Ask your doctor/hospital (status),3
Depending on the cry,3
I visit him as often as mgl,3
I talk to friends/family about grief,3
I inform myself about the illness & further course,3
I'll talk to him about illness & ask him what's going on,3
I bring him gifts & try to experience many happy moments with him,3
I always call him,3
I visit her and deal with death,3
I push the thoughts out of my head,3
I send flowers,3
I distract myself with work,3
I get drunk and think about death,3
I become aware of the mortality of all and live the best life I can,3
I go to my relatives and talk to them about it.,3
I'm calling my best friend,3
I walk in nature for a long time and try to sort my thoughts,3
I'm trying to find a way to support them,3
I let my sadness run wild and I'm crawling away,3
I ask for details of the disease,3
I'm gonna get in the cab and go to the hospital.,3
"I'm going outside, and I'm just going to sort my thoughts out.",3
"Inform the person you trust (friend, sister, mother) about it, talk about it",3
"go to the KKH and get myself a ""picture of the situation""",3
Research for information about the disease,3
try to relax me,3
Distraction by household/cooking/baking/film watching/ undertaking with a friend etw.,3
I express my grief and try to share it with my interlocutor on the phone,3
I discuss the difficult situation with family and friends = shared grief,3
I offer to visit the relatives in a timely manner in the hospital,3
"Until then, I try to focus on things that do me good > listen to music, walks",3
"To keep the heavy not too close to me, I try to distract myself",3
Talk to someone about it.,3
Distract me by watching a show.,3
Visit the relative.,3
Call the relative.,3
Distract me by meeting friends.,3
Inform me about the disease.,3
Cry.,3
visit and talk,3
Meet and talk with other relatives,3
Talk to friends/partners about your own health,3
possibly seek medical information,3
remembering good time with relatives,3
Thinking of Life after It,3
Thinking back that relatives also experienced and could experience beautiful,3
Relatives try to call,3
they go to visit,3
Calling them,3
Talk to family members about it,3
Talk to friends about it,3
Inform you about illness,3
distract you & do something funny,3
pull back & cry,3
Pray,3
cuddle with pet,3
Look at photos with relatives (& yourself),3
Take St. John's wort or similar,3
Watch a funny movie,3
Diary,3
Call relatives and ask how to do it,3
Go to the hospital,3
Talk to family about it,3
Thinking Positively,3
Seek Distraction,3
Going out with friends,3
doctor ask how it stands around her,3
Convincing and Supporting Relatives,3
I'm dealing with illness,3
I'm going to the hospital to see her.,3
I'm looking for beautiful memorabilia that I connect with them.,3
I hear sad music.,3
I call them every day,3
I'm meeting with the rest of my family to talk about it.,3
I inform myself about the illness & whether I can contribute something to the healing.,3
I'll cook something that I can connect with them.,3
Call his wife/children and inquire about him,3
go to visit him,3
Google his illness and deal with it,3
think about what to bring him as a gift,3
I'm looking for friends & crying from them,3
I'm going to see a therapist,3
I try to spend as much time with the sick person as possible,3
I'm talking to my family about it,3
I ask myself about healing methods,3
I'm asking about the disease to better understand it,3
I'll talk to her and ask her why.,4
I'm saying the same thing about her.,4
I'm not talking to them anymore.,4
I'll tell my coach.,4
I'm not coming anymore.,4
I'll talk to a friend about it.,4
I'm trying to convince them of the opposite.,4
I'll beat everyone.,4
I'm going home crying and thinking about a revenge plan.,4
Asking for reasons for opinion,4
be offended and no longer talk to these fellow players,4
Leave the team,4
accept their opinion and do not allow themselves to be influenced by it,4
try to get better,4
keep their own mistakes to the players,4
Don't miss an aerger in one game to the other,4
Work even more on my performance,4
Prove the opposite to this person,4
Talk to family/friends about it,4
Smash something,4
In ball sport: even stronger shooting/throwing/threating,4
Discuss with Trainers,4
Addressing the Person,4
"Looking for distraction: eg movie, excursion, call",4
Ask me if there's anything real about it.,4
Curse,4
Improve performance,4
Core training,4
